0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.016951,0.046077,0.055808,0.029826,0.006828,0.000646,0.000024,0.000000,0.000000,0.000000
0.014369,0.037352,0.043170,0.022171,0.004935,0.000459,0.000017,0.000000,0.000000,0.000000
0.004922,0.012279,0.013535,0.006652,0.001432,0.000130,0.000005,0.000000,0.000000,0.000000
0.000675,0.001623,0.001708,0.000801,0.000166,0.000015,0.000001,0.000000,0.000000,0.000000
0.000037,0.000085,0.000086,0.000038,0.000008,0.000001,0.000000,0.000000,0.000000,0.000000
0.000001,0.000002,0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
