0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.001647,0.000823,0.000163,0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.003373,0.001684,0.000333,0.000026,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000
0.002752,0.001374,0.000272,0.000021,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000
0.000893,0.000446,0.000088,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000114,0.000057,0.000011,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000006,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
