0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.000948,0.008492,0.032632,0.050135,0.030710,0.007469,0.000714,0.000027,0.000000,0.000000
0.001702,0.006987,0.024325,0.037088,0.022705,0.005522,0.000528,0.000020,0.000000,0.000000
0.005107,0.005314,0.008067,0.011002,0.006678,0.001623,0.000155,0.000006,0.000000,0.000000
0.009012,0.006575,0.002611,0.001460,0.000782,0.000188,0.000018,0.000001,0.000000,0.000000
0.006546,0.004642,0.001340,0.000201,0.000041,0.000009,0.000001,0.000000,0.000000,0.000000
0.001894,0.001341,0.000378,0.000043,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000
0.000216,0.000153,0.000043,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000010,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
