0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.001154,0.000695,0.000166,0.000016,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000
0.006064,0.003652,0.000873,0.000082,0.000003,0.000000,0.000000,0.000000,0.000000,-0.000000
0.012624,0.007602,0.001817,0.000171,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000
0.010470,0.006305,0.001507,0.000142,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000
0.003454,0.002080,0.000497,0.000047,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000
0.000450,0.000271,0.000065,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000023,0.000014,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
