0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.001014,0.000642,0.000162,0.000016,0.000001,0.000000,0.000000,0.000000,0.000000,-0.000000
0.004338,0.002748,0.000691,0.000068,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000
0.007366,0.004665,0.001173,0.000116,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000
0.004984,0.003157,0.000794,0.000079,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000
0.001340,0.000849,0.000213,0.000021,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000
0.000142,0.000090,0.000023,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000006,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
