0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.012653,0.026166,0.022818,0.008028,0.001119,0.000061,0.000001,0.000000,0.000000,0.000000
0.012795,0.020450,0.016528,0.005709,0.000793,0.000043,0.000001,0.000000,0.000000,0.000000
0.009654,0.008809,0.005259,0.001653,0.000224,0.000012,0.000000,0.000000,0.000000,0.000000
0.004881,0.002902,0.000968,0.000213,0.000026,0.000001,0.000000,0.000000,0.000000,0.000000
0.001165,0.000607,0.000138,0.000017,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000
0.000113,0.000058,0.000012,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000004,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
