0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.002018,0.010384,0.031833,0.040935,0.021086,0.004309,0.000346,0.000011,0.000000,0.000000
0.005849,0.013829,0.034281,0.043008,0.022100,0.004515,0.000362,0.000011,0.000000,0.000000
0.010555,0.012177,0.016316,0.018194,0.009234,0.001884,0.000151,0.000005,0.000000,0.000000
0.008788,0.007572,0.004440,0.003220,0.001535,0.000311,0.000025,0.000001,0.000000,0.000000
0.003007,0.002415,0.000892,0.000283,0.000103,0.000020,0.000002,0.000000,0.000000,0.000000
0.000409,0.000324,0.000105,0.000017,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000
0.000022,0.000017,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
