0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.005176,0.021530,0.035552,0.023394,0.006115,0.000629,0.000025,0.000000,0.000000,0.000000
0.004393,0.018274,0.030175,0.019856,0.005190,0.000534,0.000021,0.000000,0.000000,0.000000
0.001484,0.006171,0.010190,0.006705,0.001753,0.000180,0.000007,0.000000,0.000000,0.000000
0.000198,0.000823,0.001358,0.000894,0.000234,0.000024,0.000001,0.000000,0.000000,0.000000
0.000010,0.000043,0.000071,0.000047,0.000012,0.000001,0.000000,0.000000,0.000000,0.000000
0.000000,0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
