0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.011375,0.022865,0.018312,0.005833,0.000733,0.000036,0.000001,0.000000,0.000000,0.000000
0.010776,0.021661,0.017348,0.005526,0.000694,0.000034,0.000001,0.000000,0.000000,0.000000
0.004063,0.008168,0.006542,0.002084,0.000262,0.000013,0.000000,0.000000,0.000000,0.000000
0.000606,0.001217,0.000975,0.000311,0.000039,0.000002,0.000000,0.000000,0.000000,0.000000
0.000035,0.000071,0.000057,0.000018,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000
0.000001,0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
