0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.000777,0.000677,0.000235,0.000032,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000
0.004612,0.004020,0.001394,0.000191,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000
0.010837,0.009447,0.003277,0.000449,0.000024,0.000000,0.000000,0.000000,0.000000,0.000000
0.010141,0.008840,0.003066,0.000420,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000
0.003777,0.003293,0.001142,0.000156,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000
0.000556,0.000485,0.000168,0.000023,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000
0.000032,0.000028,0.000010,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
