0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.000867,0.000829,0.000344,0.000060,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000
0.006724,0.006279,0.002568,0.000443,0.000031,0.000001,0.000000,0.000000,0.000000,0.000000
0.021249,0.019174,0.007655,0.001300,0.000090,0.000002,0.000000,0.000000,0.000000,0.000000
0.027936,0.024039,0.009256,0.001536,0.000105,0.000003,0.000000,0.000000,0.000000,0.000000
0.015513,0.012564,0.004595,0.000736,0.000049,0.000001,0.000000,0.000000,0.000000,0.000000
0.003661,0.002766,0.000946,0.000144,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000
0.000365,0.000257,0.000081,0.000011,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000
0.000015,0.000010,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
