0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.006977,0.024537,0.034295,0.019101,0.004220,0.000366,0.000012,0.000000,0.000000,0.000000
0.004694,0.016506,0.023070,0.012849,0.002839,0.000246,0.000008,0.000000,0.000000,0.000000
0.001254,0.004411,0.006166,0.003434,0.000759,0.000066,0.000002,0.000000,0.000000,0.000000
0.000132,0.000464,0.000649,0.000361,0.000080,0.000007,0.000000,0.000000,0.000000,0.000000
0.000005,0.000019,0.000027,0.000015,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
