0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.008962,0.021071,0.019730,0.007353,0.001083,0.000062,0.000001,0.000000,0.000000,0.000000
0.010531,0.024759,0.023183,0.008640,0.001273,0.000073,0.000002,0.000000,0.000000,0.000000
0.004929,0.011589,0.010851,0.004044,0.000596,0.000034,0.000001,0.000000,0.000000,0.000000
0.000914,0.002149,0.002012,0.000750,0.000110,0.000006,0.000000,0.000000,0.000000,0.000000
0.000066,0.000156,0.000146,0.000055,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000
0.000002,0.000004,0.000004,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
