0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.012665,0.021045,0.013935,0.003666,0.000380,0.000015,0.000000,0.000000,0.000000,0.000000
0.011649,0.019357,0.012817,0.003372,0.000349,0.000014,0.000000,0.000000,0.000000,0.000000
0.004264,0.007086,0.004692,0.001234,0.000128,0.000005,0.000000,0.000000,0.000000,0.000000
0.000617,0.001025,0.000679,0.000179,0.000018,0.000001,0.000000,0.000000,0.000000,0.000000
0.000035,0.000058,0.000038,0.000010,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000
0.000001,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
