0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.000199,0.000109,0.000024,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001567,0.000851,0.000184,0.000016,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000
0.004943,0.002658,0.000570,0.000048,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000
0.006348,0.003367,0.000714,0.000060,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000
0.003348,0.001744,0.000364,0.000030,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000
0.000727,0.000371,0.000076,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000065,0.000032,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
