0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.001022,0.001108,0.000478,0.000082,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000
0.005743,0.006224,0.002686,0.000459,0.000031,0.000001,0.000000,0.000000,0.000000,0.000000
0.012780,0.013849,0.005977,0.001021,0.000068,0.000002,0.000000,0.000000,0.000000,0.000000
0.011328,0.012275,0.005297,0.000905,0.000061,0.000002,0.000000,0.000000,0.000000,0.000000
0.003995,0.004329,0.001868,0.000319,0.000021,0.000001,0.000000,0.000000,0.000000,0.000000
0.000557,0.000603,0.000260,0.000044,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000
0.000030,0.000033,0.000014,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
