0, 1, 2, 3, 4, 5, 6, 7, 8, 9
0.005240,0.021703,0.035949,0.023748,0.006233,0.000644,0.000026,0.000000,0.000000,0.000000
0.004649,0.018004,0.029602,0.019540,0.005128,0.000530,0.000021,0.000000,0.000000,0.000000
0.002569,0.006353,0.009768,0.006400,0.001678,0.000173,0.000007,0.000000,0.000000,0.000000
0.001625,0.001390,0.001361,0.000833,0.000217,0.000022,0.000001,0.000000,0.000000,0.000000
0.000719,0.000351,0.000118,0.000045,0.000011,0.000001,0.000000,0.000000,0.000000,0.000000
0.000138,0.000062,0.000012,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000011,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
